company_id,company_name,type,rule_id,text,confidence_pct
ADANIENT,Adani Enterprises Ltd,Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ADANIENT,Adani Enterprises Ltd,Pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,80
ADANIENT,Adani Enterprises Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
ADANIENT,Adani Enterprises Ltd,Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
ADANIENT,Adani Enterprises Ltd,Con,CON_11,Net debt exceeding three times operating profit indicates elevated financial leverage.,90
ADANIGREEN,Adani Green Energy Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
ADANIGREEN,Adani Green Energy Ltd,Pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIGREEN,Adani Green Energy Ltd,Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
ADANIGREEN,Adani Green Energy Ltd,Con,CON_01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring.,95
ADANIGREEN,Adani Green Energy Ltd,Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
ADANIGREEN,Adani Green Energy Ltd,Con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,85
ADANIGREEN,Adani Green Energy Ltd,Con,CON_11,Net debt exceeding three times operating profit indicates elevated financial leverage.,90
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,80
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Con,DEFAULT_CON,"No significant financial weakness identified, however future performance should continue to be monitored.",60
ADANIPOWER,Adani Power Ltd,Pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ADANIPOWER,Adani Power Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
ADANIPOWER,Adani Power Ltd,Pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIPOWER,Adani Power Ltd,Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
ADANIPOWER,Adani Power Ltd,Pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,80
ADANIPOWER,Adani Power Ltd,Con,DEFAULT_CON,"No significant financial weakness identified, however future performance should continue to be monitored.",60
AMBUJACEM,Ambuja Cements Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
AMBUJACEM,Ambuja Cements Ltd,Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
AMBUJACEM,Ambuja Cements Ltd,Pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,85
AMBUJACEM,Ambuja Cements Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
AMBUJACEM,Ambuja Cements Ltd,Con,CON_05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss.,85
AMBUJACEM,Ambuja Cements Ltd,Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
AMBUJACEM,Ambuja Cements Ltd,Con,CON_12,Revenue growing below 5% over five years suggests limited business momentum.,80
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,90
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,85
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,90
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,85
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,80
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Con,DEFAULT_CON,"No significant financial weakness identified, however future performance should continue to be monitored.",60
AXISBANK,Axis Bank Ltd,Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
AXISBANK,Axis Bank Ltd,Pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,90
AXISBANK,Axis Bank Ltd,Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
AXISBANK,Axis Bank Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
AXISBANK,Axis Bank Ltd,Con,CON_01,Debt-to-equity ratio of 8.25 is elevated for a non-financial company and warrants monitoring.,95
AXISBANK,Axis Bank Ltd,Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
AXISBANK,Axis Bank Ltd,Con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,85
AXISBANK,Axis Bank Ltd,Con,CON_11,Net debt exceeding three times operating profit indicates elevated financial leverage.,90
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,85
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
BAJAJ-AUTO,Bajaj Auto Ltd,Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
BAJAJFINSV,Bajaj Finserv Ltd,Pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJFINSV,Bajaj Finserv Ltd,Pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
BAJAJFINSV,Bajaj Finserv Ltd,Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
BAJAJFINSV,Bajaj Finserv Ltd,Pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,90
BAJAJFINSV,Bajaj Finserv Ltd,Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJAJFINSV,Bajaj Finserv Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
BAJAJFINSV,Bajaj Finserv Ltd,Con,CON_01,Debt-to-equity ratio of 4.79 is elevated for a non-financial company and warrants monitoring.,95
BAJAJFINSV,Bajaj Finserv Ltd,Con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality.,90
BAJAJFINSV,Bajaj Finserv Ltd,Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,100
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,85
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,80
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,85
BAJFINANCE,Bajaj Finance Ltd,Pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
BAJFINANCE,Bajaj Finance Ltd,Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
BAJFINANCE,Bajaj Finance Ltd,Pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,90
BAJFINANCE,Bajaj Finance Ltd,Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BAJFINANCE,Bajaj Finance Ltd,Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJFINANCE,Bajaj Finance Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
BAJFINANCE,Bajaj Finance Ltd,Con,CON_01,Debt-to-equity ratio of 3.82 is elevated for a non-financial company and warrants monitoring.,95
BAJFINANCE,Bajaj Finance Ltd,Con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality.,90
BAJFINANCE,Bajaj Finance Ltd,Con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
BAJFINANCE,Bajaj Finance Ltd,Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
BAJFINANCE,Bajaj Finance Ltd,Con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,85
BAJFINANCE,Bajaj Finance Ltd,Con,CON_11,Net debt exceeding three times operating profit indicates elevated financial leverage.,90
BANKBARODA,Bank of Baroda,Pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
BANKBARODA,Bank of Baroda,Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
BANKBARODA,Bank of Baroda,Pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,90
BANKBARODA,Bank of Baroda,Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BANKBARODA,Bank of Baroda,Pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,80
BANKBARODA,Bank of Baroda,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
BANKBARODA,Bank of Baroda,Con,CON_01,Debt-to-equity ratio of 12.14 is elevated for a non-financial company and warrants monitoring.,95
BANKBARODA,Bank of Baroda,Con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
BANKBARODA,Bank of Baroda,Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
BANKBARODA,Bank of Baroda,Con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,85
BANKBARODA,Bank of Baroda,Con,CON_11,Net debt exceeding three times operating profit indicates elevated financial leverage.,90
BEL,Bharat Electronics Ltd,Pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BEL,Bharat Electronics Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
BEL,Bharat Electronics Ltd,Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BEL,Bharat Electronics Ltd,Pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,80
BEL,Bharat Electronics Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
BEL,Bharat Electronics Ltd,Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
BHARTIARTL,Bharti Airtel Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
BHARTIARTL,Bharti Airtel Ltd,Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
BHARTIARTL,Bharti Airtel Ltd,Pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,90
BHARTIARTL,Bharti Airtel Ltd,Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BHARTIARTL,Bharti Airtel Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
BHARTIARTL,Bharti Airtel Ltd,Con,CON_01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring.,95
BHEL,"Bharat Heavy Electricals Limited
",Pro,DEFAULT_PRO,Business demonstrates stable financial performance and is suitable for continued monitoring.,60
BHEL,"Bharat Heavy Electricals Limited
",Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
BHEL,"Bharat Heavy Electricals Limited
",Con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,85
BHEL,"Bharat Heavy Electricals Limited
",Con,CON_11,Net debt exceeding three times operating profit indicates elevated financial leverage.,90
BHEL,"Bharat Heavy Electricals Limited
",Con,CON_12,Revenue growing below 5% over five years suggests limited business momentum.,80
BOSCHLTD,Bosch Ltd,Pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BOSCHLTD,Bosch Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
BOSCHLTD,Bosch Ltd,Pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,100
BOSCHLTD,Bosch Ltd,Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BOSCHLTD,Bosch Ltd,Pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,85
BOSCHLTD,Bosch Ltd,Pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,80
BOSCHLTD,Bosch Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
BOSCHLTD,Bosch Ltd,Pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
BOSCHLTD,Bosch Ltd,Con,DEFAULT_CON,"No significant financial weakness identified, however future performance should continue to be monitored.",60
BPCL,Bharat Petroleum Corporation Ltd,Pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BPCL,Bharat Petroleum Corporation Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
BPCL,Bharat Petroleum Corporation Ltd,Pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,90
BPCL,Bharat Petroleum Corporation Ltd,Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BPCL,Bharat Petroleum Corporation Ltd,Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BPCL,Bharat Petroleum Corporation Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
BPCL,Bharat Petroleum Corporation Ltd,Con,CON_05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss.,85
BRITANNIA,Britannia Industries Ltd,Pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BRITANNIA,Britannia Industries Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
BRITANNIA,Britannia Industries Ltd,Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BRITANNIA,Britannia Industries Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
BRITANNIA,Britannia Industries Ltd,Con,DEFAULT_CON,"No significant financial weakness identified, however future performance should continue to be monitored.",60
CANBK,Canara Bank,Pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
CANBK,Canara Bank,Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
CANBK,Canara Bank,Pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,90
CANBK,Canara Bank,Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
CANBK,Canara Bank,Pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,80
CANBK,Canara Bank,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
CANBK,Canara Bank,Con,CON_01,Debt-to-equity ratio of 14.87 is elevated for a non-financial company and warrants monitoring.,95
CANBK,Canara Bank,Con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
CANBK,Canara Bank,Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
CANBK,Canara Bank,Con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,85
CANBK,Canara Bank,Con,CON_11,Net debt exceeding three times operating profit indicates elevated financial leverage.,90
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,90
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Con,CON_01,Debt-to-equity ratio of 6.86 is elevated for a non-financial company and warrants monitoring.,95
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality.,90
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,85
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Con,CON_11,Net debt exceeding three times operating profit indicates elevated financial leverage.,90
CIPLA,"Cipla Ltd
",Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
CIPLA,"Cipla Ltd
",Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
CIPLA,"Cipla Ltd
",Pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,90
CIPLA,"Cipla Ltd
",Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
CIPLA,"Cipla Ltd
",Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
CIPLA,"Cipla Ltd
",Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
CIPLA,"Cipla Ltd
",Pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
CIPLA,"Cipla Ltd
",Con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
COALINDIA,Coal India Ltd,Pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
COALINDIA,Coal India Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
COALINDIA,Coal India Ltd,Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
COALINDIA,Coal India Ltd,Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
COALINDIA,Coal India Ltd,Pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,85
COALINDIA,Coal India Ltd,Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
COALINDIA,Coal India Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
COALINDIA,Coal India Ltd,Con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
COALINDIA,Coal India Ltd,Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
DABUR,Dabur India Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
DABUR,Dabur India Ltd,Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DABUR,Dabur India Ltd,Pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,85
DABUR,Dabur India Ltd,Con,CON_08,Rising debt over the past 3 years suggests increasing financial leverage risk.,85
DIVISLAB,Divis Laboratories Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
DIVISLAB,Divis Laboratories Ltd,Pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,100
DIVISLAB,Divis Laboratories Ltd,Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
DIVISLAB,Divis Laboratories Ltd,Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DIVISLAB,Divis Laboratories Ltd,Con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
DLF,DLF Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
DLF,DLF Ltd,Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
DLF,DLF Ltd,Pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,85
DLF,DLF Ltd,Pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,80
DLF,DLF Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
DLF,DLF Ltd,Con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,85
DLF,DLF Ltd,Con,CON_12,Revenue growing below 5% over five years suggests limited business momentum.,80
DMART,Avenue Supermarts Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
DMART,Avenue Supermarts Ltd,Pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
DMART,Avenue Supermarts Ltd,Pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,90
DMART,Avenue Supermarts Ltd,Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DMART,Avenue Supermarts Ltd,Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
DMART,Avenue Supermarts Ltd,Pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,80
DMART,Avenue Supermarts Ltd,Con,DEFAULT_CON,"No significant financial weakness identified, however future performance should continue to be monitored.",60
DRREDDY,Dr Reddys Laboratories Ltd,Pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
DRREDDY,Dr Reddys Laboratories Ltd,Pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85
DRREDDY,Dr Reddys Laboratories Ltd,Pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,90
DRREDDY,Dr Reddys Laboratories Ltd,Pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DRREDDY,Dr Reddys Laboratories Ltd,Pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
